show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s22,TV Show,Netflix Title 22,Raj Kumar,"Actor F, Actor G",Mexico,"June 1, 2016",2016,R,8 Seasons,Sci-Fi,Sample description for Netflix title 22.
s23,Movie,Netflix Title 23,David Kim,Actor E,France,"January 14, 2025",2025,PG,178 min,Kids' TV,Sample description for Netflix title 23.
s24,TV Show,Netflix Title 24,Alex Lee,"Actor H, Actor I",Canada,"April 21, 2018",2018,G,7 Seasons,Comedy,Sample description for Netflix title 24.
s25,TV Show,Netflix Title 25,Jane Doe,"Actor H, Actor I",United States,"May 17, 2014",2014,TV-14,3 Seasons,Thrillers,Sample description for Netflix title 25.
s26,Movie,Netflix Title 26,Emily Brown,"Actor C, Actor D",Japan,"August 8, 2024",2024,TV-PG,157 min,Comedy,Sample description for Netflix title 26.
s27,Movie,Netflix Title 27,Emily Brown,"Actor F, Actor G",Germany,"March 24, 2015",2015,R,121 min,Action & Adventure,Sample description for Netflix title 27.
s28,Movie,Netflix Title 28,Raj Kumar,Actor E,Spain,"May 4, 2014",2014,TV-14,158 min,Kids' TV,Sample description for Netflix title 28.
s29,TV Show,Netflix Title 29,David Kim,"Actor C, Actor D",Germany,"May 26, 2009",2009,PG,3 Seasons,Comedy,Sample description for Netflix title 29.
s30,TV Show,Netflix Title 30,David Kim,"Actor A, Actor B",Japan,"September 12, 2008",2008,G,6 Seasons,Kids' TV,Sample description for Netflix title 30.
s31,Movie,Netflix Title 31,David Kim,Actor E,Canada,"June 18, 2017",2017,TV-PG,85 min,Horror,Sample description for Netflix title 31.
s32,Movie,Netflix Title 32,John Smith,Actor E,Australia,"November 19, 2023",2023,R,104 min,Comedy,Sample description for Netflix title 32.
s33,Movie,Netflix Title 33,John Smith,Actor E,Japan,"October 12, 2020",2020,TV-PG,136 min,Drama,Sample description for Netflix title 33.
s34,TV Show,Netflix Title 34,Sara Wilson,"Actor C, Actor D",Australia,"December 8, 2021",2021,TV-14,1 Seasons,Documentaries,Sample description for Netflix title 34.
s35,Movie,Netflix Title 35,Jane Doe,"Actor A, Actor B",Germany,"October 28, 2022",2022,PG,137 min,Thrillers,Sample description for Netflix title 35.
s36,TV Show,Netflix Title 36,Emily Brown,"Actor F, Actor G",India,"September 28, 2011",2011,TV-14,2 Seasons,Crime TV Shows,Sample description for Netflix title 36.
s37,Movie,Netflix Title 37,John Smith,"Actor H, Actor I",Brazil,"November 8, 2020",2020,G,128 min,Action & Adventure,Sample description for Netflix title 37.
s38,TV Show,Netflix Title 38,Alex Lee,"Actor H, Actor I",United States,"March 15, 2015",2015,TV-PG,8 Seasons,Romantic Movies,Sample description for Netflix title 38.
s39,Movie,Netflix Title 39,Emily Brown,"Actor H, Actor I",United Kingdom,"February 16, 2010",2010,PG-13,114 min,Sci-Fi,Sample description for Netflix title 39.
s40,Movie,Netflix Title 40,Sara Wilson,"Actor F, Actor G",Mexico,"September 14, 2016",2016,PG-13,132 min,Horror,Sample description for Netflix title 40.
s41,Movie,Netflix Title 41,Jane Doe,"Actor C, Actor D",United Kingdom,"April 28, 2009",2009,TV-PG,124 min,Comedy,Sample description for Netflix title 41.
s42,Movie,Netflix Title 42,Jane Doe,"Actor A, Actor B",United Kingdom,"April 10, 2023",2023,TV-14,138 min,Action & Adventure,Sample description for Netflix title 42.
s43,Movie,Netflix Title 43,Sara Wilson,"Actor F, Actor G",Australia,"June 16, 2009",2009,PG,90 min,Horror,Sample description for Netflix title 43.
s44,Movie,Netflix Title 44,David Kim,"Actor H, Actor I",Germany,"August 9, 2020",2020,PG,141 min,Sci-Fi,Sample description for Netflix title 44.
s45,TV Show,Netflix Title 45,John Smith,"Actor H, Actor I",Brazil,"July 13, 2018",2018,R,9 Seasons,Romantic Movies,Sample description for Netflix title 45.
s46,TV Show,Netflix Title 46,John Smith,"Actor F, Actor G",Australia,"January 22, 2014",2014,TV-MA,5 Seasons,Action & Adventure,Sample description for Netflix title 46.
s47,Movie,Netflix Title 47,Emily Brown,"Actor A, Actor B",Japan,"August 18, 2024",2024,TV-PG,89 min,Documentaries,Sample description for Netflix title 47.
s48,TV Show,Netflix Title 48,Alex Lee,Actor E,United States,"February 20, 2025",2025,G,9 Seasons,Kids' TV,Sample description for Netflix title 48.
s49,TV Show,Netflix Title 49,Alex Lee,Actor E,United Kingdom,"November 10, 2010",2010,TV-PG,5 Seasons,Romantic Movies,Sample description for Netflix title 49.
s50,Movie,Netflix Title 50,Raj Kumar,"Actor F, Actor G",United States,"March 12, 2016",2016,PG-13,122 min,Sci-Fi,Sample description for Netflix title 50.
s51,Movie,Netflix Title 51,Jane Doe,Actor E,Canada,"March 19, 2023",2023,PG-13,107 min,Sci-Fi,Sample description for Netflix title 51.
s52,TV Show,Netflix Title 52,Raj Kumar,"Actor H, Actor I",Japan,"September 16, 2008",2008,TV-14,10 Seasons,Comedy,Sample description for Netflix title 52.
s53,Movie,Netflix Title 53,Sara Wilson,"Actor H, Actor I",Canada,"June 23, 2025",2025,R,168 min,Drama,Sample description for Netflix title 53.
s54,TV Show,Netflix Title 54,Alex Lee,"Actor F, Actor G",Japan,"May 22, 2008",2008,PG-13,2 Seasons,Action & Adventure,Sample description for Netflix title 54.
s55,TV Show,Netflix Title 55,Sara Wilson,Actor E,France,"December 14, 2019",2019,PG-13,10 Seasons,Kids' TV,Sample description for Netflix title 55.
s56,Movie,Netflix Title 56,Jane Doe,"Actor A, Actor B",Spain,"January 28, 2019",2019,G,101 min,Kids' TV,Sample description for Netflix title 56.
s57,Movie,Netflix Title 57,Sara Wilson,Actor E,United States,"March 9, 2009",2009,TV-PG,65 min,Thrillers,Sample description for Netflix title 57.
s58,TV Show,Netflix Title 58,Raj Kumar,"Actor A, Actor B",India,"February 19, 2008",2008,R,7 Seasons,Horror,Sample description for Netflix title 58.
s59,TV Show,Netflix Title 59,John Smith,"Actor H, Actor I",Spain,"February 15, 2013",2013,PG-13,3 Seasons,Action & Adventure,Sample description for Netflix title 59.
s60,TV Show,Netflix Title 60,Emily Brown,"Actor C, Actor D",Japan,"May 4, 2015",2015,PG-13,2 Seasons,Drama,Sample description for Netflix title 60.
s61,Movie,Netflix Title 61,David Kim,"Actor A, Actor B",France,"January 8, 2008",2008,TV-MA,137 min,Action & Adventure,Sample description for Netflix title 61.
s62,Movie,Netflix Title 62,Sara Wilson,"Actor A, Actor B",South Korea,"March 21, 2021",2021,TV-MA,105 min,Action & Adventure,Sample description for Netflix title 62.
s63,Movie,Netflix Title 63,Sara Wilson,Actor E,United States,"May 10, 2020",2020,PG,101 min,Crime TV Shows,Sample description for Netflix title 63.
s64,TV Show,Netflix Title 64,Sara Wilson,"Actor C, Actor D",Brazil,"August 11, 2024",2024,PG,5 Seasons,Action & Adventure,Sample description for Netflix title 64.
s65,TV Show,Netflix Title 65,John Smith,"Actor C, Actor D",Germany,"February 13, 2009",2009,PG,4 Seasons,Drama,Sample description for Netflix title 65.
s66,TV Show,Netflix Title 66,Raj Kumar,"Actor C, Actor D",Spain,"March 23, 2025",2025,G,10 Seasons,Documentaries,Sample description for Netflix title 66.
s67,TV Show,Netflix Title 67,Alex Lee,"Actor C, Actor D",Australia,"February 19, 2018",2018,TV-PG,8 Seasons,Kids' TV,Sample description for Netflix title 67.
s68,TV Show,Netflix Title 68,Alex Lee,"Actor H, Actor I",United States,"February 1, 2011",2011,PG-13,10 Seasons,Crime TV Shows,Sample description for Netflix title 68.
s69,Movie,Netflix Title 69,Alex Lee,"Actor H, Actor I",Germany,"February 15, 2021",2021,TV-PG,113 min,Sci-Fi,Sample description for Netflix title 69.
s70,TV Show,Netflix Title 70,David Kim,"Actor H, Actor I",South Korea,"July 7, 2013",2013,PG-13,2 Seasons,Comedy,Sample description for Netflix title 70.
s71,Movie,Netflix Title 71,Alex Lee,Actor E,Brazil,"March 25, 2016",2016,PG-13,125 min,Action & Adventure,Sample description for Netflix title 71.
s72,TV Show,Netflix Title 72,Jane Doe,"Actor F, Actor G",France,"May 18, 2021",2021,TV-14,2 Seasons,Comedy,Sample description for Netflix title 72.
s73,TV Show,Netflix Title 73,Emily Brown,Actor E,Brazil,"November 10, 2022",2022,R,1 Seasons,Romantic Movies,Sample description for Netflix title 73.
s74,Movie,Netflix Title 74,John Smith,"Actor A, Actor B",India,"December 10, 2018",2018,PG-13,89 min,Romantic Movies,Sample description for Netflix title 74.
s75,TV Show,Netflix Title 75,John Smith,"Actor F, Actor G",Brazil,"September 6, 2025",2025,G,2 Seasons,Documentaries,Sample description for Netflix title 75.
s76,TV Show,Netflix Title 76,Sara Wilson,"Actor F, Actor G",France,"March 11, 2012",2012,PG,7 Seasons,Crime TV Shows,Sample description for Netflix title 76.
s77,TV Show,Netflix Title 77,Alex Lee,"Actor A, Actor B",Canada,"June 7, 2021",2021,PG-13,3 Seasons,Romantic Movies,Sample description for Netflix title 77.
s78,Movie,Netflix Title 78,Emily Brown,"Actor H, Actor I",Japan,"March 15, 2019",2019,G,106 min,Kids' TV,Sample description for Netflix title 78.
s79,Movie,Netflix Title 79,Alex Lee,"Actor H, Actor I",India,"April 22, 2012",2012,G,114 min,Romantic Movies,Sample description for Netflix title 79.
s80,Movie,Netflix Title 80,David Kim,"Actor F, Actor G",Japan,"January 27, 2023",2023,G,110 min,Drama,Sample description for Netflix title 80.
s81,TV Show,Netflix Title 81,David Kim,"Actor F, Actor G",United States,"October 1, 2021",2021,PG,3 Seasons,Kids' TV,Sample description for Netflix title 81.
s82,TV Show,Netflix Title 82,Jane Doe,"Actor F, Actor G",United States,"June 19, 2014",2014,G,10 Seasons,Action & Adventure,Sample description for Netflix title 82.
s83,TV Show,Netflix Title 83,John Smith,"Actor F, Actor G",Mexico,"March 17, 2010",2010,G,7 Seasons,Romantic Movies,Sample description for Netflix title 83.
s84,TV Show,Netflix Title 84,David Kim,"Actor H, Actor I",Japan,"March 13, 2017",2017,PG,1 Seasons,Documentaries,Sample description for Netflix title 84.
s85,Movie,Netflix Title 85,Emily Brown,Actor E,Canada,"March 22, 2012",2012,G,152 min,Drama,Sample description for Netflix title 85.
s86,Movie,Netflix Title 86,John Smith,"Actor C, Actor D",Germany,"March 18, 2010",2010,PG-13,108 min,Comedy,Sample description for Netflix title 86.
s87,Movie,Netflix Title 87,John Smith,"Actor C, Actor D",Australia,"June 22, 2018",2018,PG-13,77 min,Sci-Fi,Sample description for Netflix title 87.
s88,TV Show,Netflix Title 88,Emily Brown,"Actor C, Actor D",United Kingdom,"September 24, 2013",2013,TV-14,4 Seasons,Documentaries,Sample description for Netflix title 88.
s89,Movie,Netflix Title 89,Raj Kumar,"Actor A, Actor B",Mexico,"March 18, 2024",2024,G,91 min,Comedy,Sample description for Netflix title 89.
s90,Movie,Netflix Title 90,Sara Wilson,"Actor F, Actor G",Canada,"June 22, 2014",2014,TV-MA,99 min,Documentaries,Sample description for Netflix title 90.
s91,Movie,Netflix Title 91,John Smith,"Actor H, Actor I",Spain,"May 21, 2012",2012,G,96 min,Drama,Sample description for Netflix title 91.
s92,TV Show,Netflix Title 92,David Kim,"Actor C, Actor D",Germany,"August 1, 2018",2018,G,6 Seasons,Documentaries,Sample description for Netflix title 92.
s93,Movie,Netflix Title 93,Alex Lee,Actor E,Brazil,"November 25, 2017",2017,PG,60 min,Comedy,Sample description for Netflix title 93.
s94,Movie,Netflix Title 94,Emily Brown,"Actor H, Actor I",United States,"February 28, 2020",2020,G,131 min,Crime TV Shows,Sample description for Netflix title 94.
s95,Movie,Netflix Title 95,John Smith,"Actor C, Actor D",United States,"June 24, 2010",2010,TV-14,110 min,Drama,Sample description for Netflix title 95.
s96,Movie,Netflix Title 96,Alex Lee,"Actor H, Actor I",Mexico,"August 18, 2017",2017,TV-MA,134 min,Documentaries,Sample description for Netflix title 96.
s97,Movie,Netflix Title 97,David Kim,"Actor F, Actor G",Germany,"October 3, 2020",2020,TV-14,85 min,Sci-Fi,Sample description for Netflix title 97.
s98,Movie,Netflix Title 98,Emily Brown,"Actor F, Actor G",United States,"August 3, 2020",2020,TV-MA,72 min,Romantic Movies,Sample description for Netflix title 98.
s99,Movie,Netflix Title 99,David Kim,"Actor H, Actor I",Australia,"January 3, 2019",2019,TV-PG,66 min,Romantic Movies,Sample description for Netflix title 99.
s100,Movie,Netflix Title 100,Alex Lee,"Actor C, Actor D",Spain,"June 24, 2012",2012,PG,81 min,Documentaries,Sample description for Netflix title 100.
s101,TV Show,Netflix Title 101,John Smith,"Actor F, Actor G",France,"October 9, 2017",2017,R,3 Seasons,Comedy,Sample description for Netflix title 101.
s102,Movie,Netflix Title 102,Sara Wilson,"Actor H, Actor I",Canada,"February 11, 2021",2021,G,163 min,Sci-Fi,Sample description for Netflix title 102.
s103,Movie,Netflix Title 103,David Kim,"Actor F, Actor G",France,"August 13, 2008",2008,TV-MA,133 min,Documentaries,Sample description for Netflix title 103.
s104,TV Show,Netflix Title 104,Alex Lee,Actor E,Australia,"August 11, 2011",2011,TV-14,4 Seasons,Romantic Movies,Sample description for Netflix title 104.
s105,Movie,Netflix Title 105,David Kim,Actor E,India,"August 10, 2015",2015,TV-MA,122 min,Documentaries,Sample description for Netflix title 105.
s106,TV Show,Netflix Title 106,John Smith,"Actor H, Actor I",Spain,"August 13, 2025",2025,TV-14,3 Seasons,Romantic Movies,Sample description for Netflix title 106.
s107,Movie,Netflix Title 107,John Smith,"Actor C, Actor D",France,"August 21, 2012",2012,TV-14,134 min,Romantic Movies,Sample description for Netflix title 107.
s108,Movie,Netflix Title 108,John Smith,"Actor A, Actor B",Japan,"December 25, 2012",2012,TV-MA,110 min,Documentaries,Sample description for Netflix title 108.
s109,TV Show,Netflix Title 109,Raj Kumar,"Actor H, Actor I",Brazil,"January 5, 2023",2023,R,3 Seasons,Drama,Sample description for Netflix title 109.
s110,TV Show,Netflix Title 110,Alex Lee,Actor E,Canada,"December 1, 2022",2022,TV-PG,7 Seasons,Drama,Sample description for Netflix title 110.
s111,TV Show,Netflix Title 111,Jane Doe,Actor E,France,"February 22, 2019",2019,PG-13,5 Seasons,Comedy,Sample description for Netflix title 111.
s112,Movie,Netflix Title 112,David Kim,"Actor F, Actor G",Canada,"September 28, 2015",2015,TV-MA,154 min,Documentaries,Sample description for Netflix title 112.
s113,Movie,Netflix Title 113,David Kim,Actor E,South Korea,"October 4, 2011",2011,TV-PG,147 min,Action & Adventure,Sample description for Netflix title 113.
s114,TV Show,Netflix Title 114,Jane Doe,"Actor H, Actor I",South Korea,"October 21, 2011",2011,TV-PG,1 Seasons,Documentaries,Sample description for Netflix title 114.
s115,Movie,Netflix Title 115,David Kim,"Actor A, Actor B",India,"October 22, 2009",2009,PG,83 min,Crime TV Shows,Sample description for Netflix title 115.
s116,Movie,Netflix Title 116,John Smith,"Actor C, Actor D",Canada,"March 5, 2020",2020,PG,118 min,Drama,Sample description for Netflix title 116.
s117,Movie,Netflix Title 117,Raj Kumar,"Actor C, Actor D",Canada,"October 28, 2022",2022,G,165 min,Comedy,Sample description for Netflix title 117.
s118,TV Show,Netflix Title 118,Emily Brown,"Actor C, Actor D",United States,"May 24, 2011",2011,R,9 Seasons,Action & Adventure,Sample description for Netflix title 118.
s119,Movie,Netflix Title 119,Jane Doe,"Actor A, Actor B",Spain,"March 27, 2009",2009,PG-13,137 min,Thrillers,Sample description for Netflix title 119.
s120,TV Show,Netflix Title 120,Raj Kumar,"Actor C, Actor D",Mexico,"March 18, 2010",2010,PG,7 Seasons,Sci-Fi,Sample description for Netflix title 120.
s121,Movie,Netflix Title 121,Alex Lee,"Actor F, Actor G",South Korea,"July 6, 2018",2018,TV-MA,78 min,Sci-Fi,Sample description for Netflix title 121.
s122,Movie,Netflix Title 122,Alex Lee,"Actor A, Actor B",Brazil,"November 6, 2021",2021,R,113 min,Kids' TV,Sample description for Netflix title 122.
s123,TV Show,Netflix Title 123,Raj Kumar,Actor E,Brazil,"May 6, 2016",2016,R,10 Seasons,Comedy,Sample description for Netflix title 123.
s124,TV Show,Netflix Title 124,David Kim,Actor E,United States,"August 3, 2023",2023,G,10 Seasons,Drama,Sample description for Netflix title 124.
s125,TV Show,Netflix Title 125,Raj Kumar,"Actor H, Actor I",Mexico,"February 21, 2015",2015,TV-PG,9 Seasons,Crime TV Shows,Sample description for Netflix title 125.
s126,Movie,Netflix Title 126,Alex Lee,Actor E,United Kingdom,"April 12, 2008",2008,TV-14,68 min,Comedy,Sample description for Netflix title 126.
s127,TV Show,Netflix Title 127,Alex Lee,"Actor A, Actor B",United Kingdom,"September 21, 2023",2023,R,6 Seasons,Thrillers,Sample description for Netflix title 127.
s128,TV Show,Netflix Title 128,John Smith,Actor E,United States,"June 15, 2019",2019,TV-14,5 Seasons,Kids' TV,Sample description for Netflix title 128.
s129,TV Show,Netflix Title 129,Raj Kumar,"Actor C, Actor D",Mexico,"November 1, 2009",2009,PG-13,3 Seasons,Comedy,Sample description for Netflix title 129.
s130,Movie,Netflix Title 130,Jane Doe,Actor E,Germany,"February 25, 2016",2016,G,130 min,Sci-Fi,Sample description for Netflix title 130.
s131,Movie,Netflix Title 131,John Smith,"Actor H, Actor I",Canada,"April 13, 2017",2017,TV-MA,155 min,Drama,Sample description for Netflix title 131.
s132,TV Show,Netflix Title 132,David Kim,"Actor H, Actor I",South Korea,"June 22, 2021",2021,TV-14,2 Seasons,Documentaries,Sample description for Netflix title 132.
s133,TV Show,Netflix Title 133,David Kim,"Actor H, Actor I",Spain,"August 2, 2012",2012,PG,7 Seasons,Thrillers,Sample description for Netflix title 133.
s134,Movie,Netflix Title 134,David Kim,"Actor H, Actor I",Spain,"February 14, 2017",2017,PG-13,158 min,Documentaries,Sample description for Netflix title 134.
s135,Movie,Netflix Title 135,Emily Brown,"Actor C, Actor D",South Korea,"November 25, 2023",2023,G,103 min,Sci-Fi,Sample description for Netflix title 135.
s136,Movie,Netflix Title 136,Sara Wilson,Actor E,South Korea,"August 16, 2024",2024,R,149 min,Romantic Movies,Sample description for Netflix title 136.
s137,Movie,Netflix Title 137,Alex Lee,"Actor C, Actor D",Mexico,"November 16, 2009",2009,TV-14,145 min,Comedy,Sample description for Netflix title 137.
s138,Movie,Netflix Title 138,Jane Doe,"Actor C, Actor D",Germany,"May 17, 2009",2009,TV-PG,73 min,Crime TV Shows,Sample description for Netflix title 138.
s139,TV Show,Netflix Title 139,Raj Kumar,"Actor C, Actor D",Brazil,"September 27, 2020",2020,TV-MA,6 Seasons,Crime TV Shows,Sample description for Netflix title 139.
s140,TV Show,Netflix Title 140,David Kim,"Actor C, Actor D",Australia,"April 8, 2009",2009,PG-13,3 Seasons,Thrillers,Sample description for Netflix title 140.
s141,TV Show,Netflix Title 141,David Kim,"Actor A, Actor B",Australia,"March 9, 2015",2015,R,1 Seasons,Kids' TV,Sample description for Netflix title 141.
s142,Movie,Netflix Title 142,Jane Doe,"Actor H, Actor I",India,"August 25, 2010",2010,PG-13,125 min,Drama,Sample description for Netflix title 142.
s143,Movie,Netflix Title 143,David Kim,"Actor H, Actor I",France,"March 5, 2008",2008,R,150 min,Comedy,Sample description for Netflix title 143.
s144,Movie,Netflix Title 144,Sara Wilson,Actor E,Spain,"January 25, 2012",2012,R,130 min,Sci-Fi,Sample description for Netflix title 144.
s145,Movie,Netflix Title 145,Emily Brown,"Actor H, Actor I",United States,"April 4, 2015",2015,G,81 min,Sci-Fi,Sample description for Netflix title 145.
s146,TV Show,Netflix Title 146,Alex Lee,Actor E,South Korea,"July 9, 2009",2009,TV-14,6 Seasons,Thrillers,Sample description for Netflix title 146.
s147,TV Show,Netflix Title 147,John Smith,"Actor H, Actor I",Mexico,"October 20, 2024",2024,TV-PG,1 Seasons,Action & Adventure,Sample description for Netflix title 147.
s148,TV Show,Netflix Title 148,John Smith,"Actor A, Actor B",Australia,"October 14, 2016",2016,PG,7 Seasons,Documentaries,Sample description for Netflix title 148.
s149,TV Show,Netflix Title 149,Alex Lee,"Actor F, Actor G",South Korea,"September 6, 2019",2019,PG,8 Seasons,Thrillers,Sample description for Netflix title 149.
s150,Movie,Netflix Title 150,David Kim,"Actor A, Actor B",South Korea,"February 17, 2012",2012,PG,68 min,Documentaries,Sample description for Netflix title 150.
s151,TV Show,Netflix Title 151,David Kim,Actor E,South Korea,"September 25, 2022",2022,G,6 Seasons,Thrillers,Sample description for Netflix title 151.
s152,Movie,Netflix Title 152,Raj Kumar,Actor E,United Kingdom,"June 5, 2008",2008,PG,159 min,Drama,Sample description for Netflix title 152.
s153,TV Show,Netflix Title 153,Sara Wilson,"Actor A, Actor B",Spain,"April 9, 2010",2010,TV-MA,9 Seasons,Thrillers,Sample description for Netflix title 153.
s154,Movie,Netflix Title 154,Raj Kumar,"Actor H, Actor I",France,"October 28, 2012",2012,TV-PG,64 min,Sci-Fi,Sample description for Netflix title 154.
s155,TV Show,Netflix Title 155,David Kim,"Actor C, Actor D",Germany,"February 8, 2012",2012,G,2 Seasons,Thrillers,Sample description for Netflix title 155.
s156,TV Show,Netflix Title 156,Alex Lee,Actor E,Spain,"June 2, 2009",2009,TV-MA,4 Seasons,Comedy,Sample description for Netflix title 156.
s157,TV Show,Netflix Title 157,Jane Doe,"Actor A, Actor B",Mexico,"November 9, 2024",2024,TV-PG,3 Seasons,Sci-Fi,Sample description for Netflix title 157.
s158,TV Show,Netflix Title 158,Jane Doe,"Actor C, Actor D",South Korea,"April 16, 2025",2025,PG-13,8 Seasons,Sci-Fi,Sample description for Netflix title 158.
s159,Movie,Netflix Title 159,Jane Doe,"Actor C, Actor D",Japan,"June 17, 2013",2013,TV-PG,155 min,Kids' TV,Sample description for Netflix title 159.
s160,TV Show,Netflix Title 160,Jane Doe,"Actor A, Actor B",United States,"August 2, 2012",2012,R,2 Seasons,Horror,Sample description for Netflix title 160.
s161,Movie,Netflix Title 161,David Kim,"Actor H, Actor I",Canada,"January 13, 2023",2023,TV-PG,120 min,Sci-Fi,Sample description for Netflix title 161.
s162,Movie,Netflix Title 162,Jane Doe,"Actor F, Actor G",Mexico,"October 15, 2025",2025,PG-13,137 min,Romantic Movies,Sample description for Netflix title 162.
s163,Movie,Netflix Title 163,John Smith,"Actor A, Actor B",France,"April 4, 2016",2016,TV-PG,64 min,Drama,Sample description for Netflix title 163.
s164,TV Show,Netflix Title 164,Jane Doe,"Actor H, Actor I",Japan,"June 3, 2025",2025,PG,1 Seasons,Crime TV Shows,Sample description for Netflix title 164.
s165,Movie,Netflix Title 165,David Kim,"Actor A, Actor B",Australia,"March 16, 2016",2016,TV-MA,86 min,Action & Adventure,Sample description for Netflix title 165.
s166,Movie,Netflix Title 166,Jane Doe,Actor E,India,"December 11, 2011",2011,TV-MA,91 min,Documentaries,Sample description for Netflix title 166.
s167,Movie,Netflix Title 167,John Smith,"Actor F, Actor G",Spain,"April 17, 2021",2021,PG-13,82 min,Action & Adventure,Sample description for Netflix title 167.
s168,TV Show,Netflix Title 168,John Smith,"Actor H, Actor I",Germany,"November 10, 2022",2022,PG,6 Seasons,Comedy,Sample description for Netflix title 168.
s169,TV Show,Netflix Title 169,Alex Lee,"Actor A, Actor B",Australia,"February 11, 2021",2021,TV-14,1 Seasons,Kids' TV,Sample description for Netflix title 169.
s170,TV Show,Netflix Title 170,Emily Brown,"Actor H, Actor I",United States,"January 24, 2018",2018,PG-13,8 Seasons,Comedy,Sample description for Netflix title 170.
s171,Movie,Netflix Title 171,Sara Wilson,"Actor C, Actor D",Mexico,"December 10, 2011",2011,PG,82 min,Crime TV Shows,Sample description for Netflix title 171.
s172,TV Show,Netflix Title 172,Jane Doe,"Actor F, Actor G",Germany,"June 18, 2018",2018,PG-13,2 Seasons,Action & Adventure,Sample description for Netflix title 172.
s173,Movie,Netflix Title 173,Alex Lee,"Actor F, Actor G",United Kingdom,"April 16, 2012",2012,TV-MA,77 min,Drama,Sample description for Netflix title 173.
s174,Movie,Netflix Title 174,Alex Lee,"Actor C, Actor D",United Kingdom,"July 9, 2010",2010,TV-MA,64 min,Horror,Sample description for Netflix title 174.
s175,TV Show,Netflix Title 175,Alex Lee,"Actor C, Actor D",Germany,"October 14, 2018",2018,G,5 Seasons,Crime TV Shows,Sample description for Netflix title 175.
s176,TV Show,Netflix Title 176,Jane Doe,"Actor F, Actor G",Brazil,"September 18, 2024",2024,PG-13,2 Seasons,Sci-Fi,Sample description for Netflix title 176.
